,APMC,Commodity,Year,Month,arrivals_in_qtl,modal_price,district_name
0,Ahmednagar,Bajri,2015,April,79,1463,Ahmadnagar
1,Ahmednagar,Bajri,2016,April,106,1875,Ahmadnagar
2,Ahmednagar,Wheat(Husked),2015,April,1253,1731,Ahmadnagar
3,Ahmednagar,Wheat(Husked),2016,April,387,1999,Ahmadnagar
4,Ahmednagar,Sorgum(Jawar),2015,April,3825,1900,Ahmadnagar
5,Ahmednagar,Sorgum(Jawar),2016,April,2093,2119,Ahmadnagar
6,Ahmednagar,Maize,2015,April,75,1373,Ahmadnagar
7,Ahmednagar,Maize,2016,April,155,1375,Ahmadnagar
8,Ahmednagar,Gram,2015,April,1794,3647,Ahmadnagar
9,Ahmednagar,Gram,2016,April,630,5216,Ahmadnagar
10,Ahmednagar,Horse Gram,2015,April,3,7150,Ahmadnagar
11,Ahmednagar,Matki,2015,April,1,7500,Ahmadnagar
12,Ahmednagar,Pigeon Pea (Tur),2015,April,144,5233,Ahmadnagar
13,Ahmednagar,Pigeon Pea (Tur),2016,April,33,7329,Ahmadnagar
14,Ahmednagar,Black Gram,2015,April,7,5700,Ahmadnagar
15,Ahmednagar,Black Gram,2016,April,2,7500,Ahmadnagar
16,Ahmednagar,Castor Seed,2015,April,3,3313,Ahmadnagar
17,Ahmednagar,Soybean,2015,April,12,3150,Ahmadnagar
18,Ahmednagar,Soybean,2016,April,20,3603,Ahmadnagar
19,Ahmednagar,Jaggery,2016,April,2611,3263,Ahmadnagar
20,Ahmednagar,Lemon,2016,April,106,5500,Ahmadnagar
21,Ahmednagar,Ginger (Fresh),2016,April,46,2500,Ahmadnagar
22,Ahmednagar,Potato,2016,April,510,1133,Ahmadnagar
23,Ahmednagar,Ladies Finger,2016,April,58,3000,Ahmadnagar
24,Ahmednagar,Flower,2016,April,180,2138,Ahmadnagar
25,Ahmednagar,Carrot,2016,April,57,1250,Ahmadnagar
26,Ahmednagar,Cluster Bean,2016,April,46,5750,Ahmadnagar
27,Ahmednagar,Ghevda,2016,April,3,5250,Ahmadnagar
28,Ahmednagar,Ghosali(Bhaji),2016,April,5,2833,Ahmadnagar
29,Ahmednagar,Mango(Raw),2016,April,23,1500,Ahmadnagar
30,Ahmednagar,Cucumber,2016,April,202,1500,Ahmadnagar
31,Ahmednagar,Onion,2015,April,186700,797,Ahmadnagar
32,Ahmednagar,Onion,2016,April,42342,538,Ahmadnagar
33,Ahmednagar,Bitter Gourd,2016,April,8,5667,Ahmadnagar
34,Ahmednagar,Cabbage,2016,April,195,675,Ahmadnagar
35,Ahmednagar,Garlic,2016,April,14,5250,Ahmadnagar
36,Ahmednagar,Math (Bhaji),2016,April,12,10,Ahmadnagar
37,Ahmednagar,Capsicum,2016,April,68,2500,Ahmadnagar
38,Ahmednagar,Tomato,2016,April,334,700,Ahmadnagar
39,Ahmednagar,Brinjal,2016,April,120,2000,Ahmadnagar
40,Ahmednagar,Tamarind,2015,April,11701,7398,Ahmadnagar
41,Ahmednagar,Tamarind,2016,April,9150,8481,Ahmadnagar
42,Ahmednagar,Tamarind Seed,2015,April,8,1480,Ahmadnagar
43,Ahmednagar,Tamarind Seed,2016,April,215,1804,Ahmadnagar
44,Ahmednagar,Coriander (Dry),2015,April,151,9500,Ahmadnagar
45,Ahmednagar,Coriander (Dry),2016,April,269,8250,Ahmadnagar
46,Ahmednagar,Green Chilli,2016,April,138,5333,Ahmadnagar
47,Ahmednagar,Chillies(Red),2015,April,792,7118,Ahmadnagar
48,Ahmednagar,Chillies(Red),2016,April,1900,10185,Ahmadnagar
49,Ahmednagar,Mustard,2015,April,22,3617,Ahmadnagar
50,Ahmednagar,Mustard,2016,April,2,3800,Ahmadnagar
51,Akole,Bajri,2015,April,52,1525,Ahmadnagar
52,Akole,Bajri,2016,April,75,1685,Ahmadnagar
53,Akole,Paddy-Unhusked,2015,April,113,1625,Ahmadnagar
54,Akole,Paddy-Unhusked,2016,April,448,1704,Ahmadnagar
55,Akole,Wheat(Husked),2015,April,164,1644,Ahmadnagar
56,Akole,Wheat(Husked),2016,April,115,1725,Ahmadnagar
57,Akole,Gram,2015,April,39,3350,Ahmadnagar
58,Akole,Gram,2016,April,70,4383,Ahmadnagar
59,Akole,Soybean,2015,April,285,3250,Ahmadnagar
60,Akole,Soybean,2016,April,378,3683,Ahmadnagar
61,Akole,Onion,2015,April,105645,849,Ahmadnagar
62,Akole,Onion,2016,April,56372,662,Ahmadnagar
63,Akole,Hilda,2016,April,34,6000,Ahmadnagar
64,Jamkhed,Bajri,2015,April,164,1375,Ahmadnagar
65,Jamkhed,Bajri,2016,April,45,1627,Ahmadnagar
66,Jamkhed,Wheat(Husked),2015,April,735,2056,Ahmadnagar
67,Jamkhed,Wheat(Husked),2016,April,46,2200,Ahmadnagar
68,Jamkhed,Sorgum(Jawar),2015,April,20890,2300,Ahmadnagar
69,Jamkhed,Sorgum(Jawar),2016,April,24391,2397,Ahmadnagar
70,Jamkhed,Gram,2015,April,931,3286,Ahmadnagar
71,Jamkhed,Gram,2016,April,521,4460,Ahmadnagar
72,Jamkhed,Pigeon Pea (Tur),2016,April,191,7143,Ahmadnagar
73,Jamkhed,Soybean,2016,April,99,3275,Ahmadnagar
74,Jamkhed,Onion,2015,April,5232,788,Ahmadnagar
75,Jamkhed,Onion,2016,April,7587,519,Ahmadnagar
76,Kopargaon,Bajri,2015,April,354,1401,Ahmadnagar
77,Kopargaon,Bajri,2016,April,388,1750,Ahmadnagar
78,Kopargaon,Wheat(Husked),2015,April,9668,1529,Ahmadnagar
79,Kopargaon,Wheat(Husked),2016,April,1028,1652,Ahmadnagar
80,Kopargaon,Sorgum(Jawar),2015,April,672,1324,Ahmadnagar
81,Kopargaon,Sorgum(Jawar),2016,April,2038,1770,Ahmadnagar
82,Kopargaon,Maize,2015,April,389,1226,Ahmadnagar
83,Kopargaon,Maize,2016,April,284,1418,Ahmadnagar
84,Kopargaon,Gram,2015,April,2378,3681,Ahmadnagar
85,Kopargaon,Gram,2016,April,748,5276,Ahmadnagar
86,Kopargaon,Pigeon Pea (Tur),2015,April,6,4900,Ahmadnagar
87,Kopargaon,Soybean,2015,April,329,3517,Ahmadnagar
88,Kopargaon,Soybean,2016,April,175,3893,Ahmadnagar
89,Kopargaon,Chikoo,2015,April,1107,1120,Ahmadnagar
